frequency_hz,normalized_trace_db,insertion_loss_db
1897200000.0,-6.28418,6.28418
1898800000.0,-6.357422,6.357422
1900400000.0,-6.425781,6.425781
1902000000.0,-6.430664,6.430664
1903600000.0,-6.538086,6.538086
1905200000.0,-6.645508,6.645508
1906800000.0,-6.743164,6.743164
1908400000.0,-6.841523,6.841523
1910000000.0,-6.884766,6.884766
1911600000.0,-6.992188,6.992188
1913200000.0,-7.094727,7.094727
1914800000.0,-7.177734,7.177734
1916400000.0,-7.226562,7.226562
1918000000.0,-7.348633,7.348633
1919600000.0,-7.382812,7.382812
1921200000.0,-7.529297,7.529297
1922800000.0,-7.504883,7.504883
1924400000.0,-7.617188,7.617188
1926000000.0,-7.714844,7.714844
1927600000.0,-7.792969,7.792969
1929200000.0,-7.866211,7.866211
1930800000.0,-7.885742,7.885742
1932400000.0,-7.973633,7.973633
1934000000.0,-7.963867,7.963867
1935600000.0,-7.96875,7.96875
1937200000.0,-8.012695,8.012695
1938800000.0,-8.036641,8.036641
1940400000.0,-7.988281,7.988281
1942000000.0,-7.978516,7.978516
1943600000.0,-7.988281,7.988281
1945200000.0,-8.007812,8.007812
1946800000.0,-8.017578,8.017578
1948400000.0,-7.875273,7.875273
1950000000.0,-7.797852,7.797852
1951600000.0,-7.763672,7.763672
1953200000.0,-7.768086,7.768086
1954800000.0,-7.739258,7.739258
1956400000.0,-7.626953,7.626953
1958000000.0,-7.59207,7.59207
1959600000.0,-7.553711,7.553711
1961200000.0,-7.485352,7.485352
1962800000.0,-7.402344,7.402344
1964400000.0,-7.319336,7.319336
1966000000.0,-7.216797,7.216797
1967600000.0,-7.216797,7.216797
1969200000.0,-7.050781,7.050781
1970800000.0,-7.001953,7.001953
1972400000.0,-6.967773,6.967773
1974000000.0,-6.879883,6.879883
1975600000.0,-6.787109,6.787109
1977200000.0,-6.723633,6.723633
1978800000.0,-6.582031,6.582031
1980400000.0,-6.591797,6.591797
1982000000.0,-6.533203,6.533203
